sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
341|C„H,„|2,3,3,4-tetramethylpentane|16747-38-9|1|3.99105|1422.030|215.256||||||0.02|307.81|2|443.27
342|C„H,„0|1-nonanol|143-08-8|1|3.83303|1297.750|125.000||||||0.02|382.10|2|515.58
342|C„H,„0|1-nonanol|143-08-8|3|671.50|-9.91542|5.13670|-8.8075|-12.497|26.30|||||26.30|671.50
345|C,„H.|naphthalene|91-20-3|1|4.13555|1733.710|201.859||||||0.02|368.44|2|523.40
345|C,„H.|naphthalene|91-20-3|3|748.40|-7.61444|1.91553|-2.5075|-3.2300|40.50|||||40.50|748.40
351|c„,h14|butylbenzene|104-51-8|1|4.10345|1575.470|201.200||||||0.02|343.50|2|486.20
352|c„,h14|2-methylpropylbenzene|538-93-2|1|4.05978|1529.960|204.640||||||0.02|334.19|2|475.50
353|c„,h14|1,4-diethylbenzene|105-05-5|1|4.12958|1592.590|202.440||||||0.02|343.95|2|486.60
354|c„,h14|1 -11 -methylethyl )-4-methylbenzene|99-87-6|1|4.17215|1606.890|208.570||||||0.02|338.28|2|479.60
355|c„,h14|1,2.4.5-tetramethylbenzene|95-93-2|1|4.18329|1660.560|200.640||||||0.02|354.80|2|500.20
356|C„,H„|cis-bicyelo[4.4.0]decane|493-01-6|1|4.00019|1594.460|203.392||||||0.02|349.53|2|500.79
357|C,„H,.|trans-bieyelo[4.4.0]decane|493-02-7|1|3.98171|1564.683|206.259||||||0.02|342.33|2|492.00
359|C„,H,„0,|deeanoie aeid|334-48-5|3|726.00|-9.07060|2.77535|-11.1014|-2.43545|22.30|||||22.30|726.00
360|C„,H22|decane|124-18-5|1|4.06853|1495.170|193.858||||||0.02|338.53|2|476.15
360|C„,H22|decane|124-18-5|3|617.65|-8.60643|2.44659|-4.2925|-3.9080|21.05|||||21.05|617.65
361|c„,h22|2,2,5-trimethylheptane|20291-95-6|1|4.00345|1417.400|203.800||||||0.02|318.00|2|452.00
362|c„,h22|3.3.5-trimethylheptane|7154-80-5|1|3.98014|1435.430|205.490||||||0.02|320.00|2|458.00
363|C„,H22|2.2.3.3-tetramethylhexane|13475-81-5|1|3.96928|1464.03|209.06||||||0.02|322.38|2|463.20
364|C„,H22|2,2.5.5-tetramethylhexane|1071-81-4|1|4.00614|1377.98|207.00||||||0.02|307.68|2|438.06
365|C„,H„0|1-deeanol|112-30-1|1|3.84905|1369.000|125.078||||||0.02|394.80|2|533.92
365|C„,H„0|1-deeanol|112-30-1|3|689.00|-9.75478|4.18634|-7.0572|-15.980|24.10|||||24.10|689.00
366|c„,h,4n4|octamethylethenetetramine|996-70-3|3|680.00|-8.33725|2.87447|-4.08037|-3.54204|24|||0.02|357.70|1.208|485.20
367|C„H„,|1 -methylnaphthalene|90-12-0|1|4.16082|1826.948|195.002||||||0.02|389.93|2|551.40
368|C„H„,|2-methylnaphthalene|91-57-6|1|4.19340|1840.268|198.395||||||0.02|387.07|2|547.50
369|C,,H,,|undecane|1120-21-4|1|4.09710|1569.570|187.700||||||0.02|356.25|2|499.00
369|C,,H,,|undecane|1120-21-4|3|638.85|-8.85076|2.60205|-4.7305|-4.0810|19.55|||||19.55|638.85
370|c„h,4o|1-undeeanol|112-42-5|3|705.00|-9.85733|3.97841|-6.6002|-16.691|22.40|||||22.40|705.00
371|c12h„,|1.1'-biphenyl|92-52-4|1|4.18870|1841.480|185.150||||||0.02|400.77|2|561.60
371|c12h„,|1.1'-biphenyl|92-52-4|2|4.18870|1841.480|185.150|770.00|270|2.75420|0.000|0.00|1.87|623.15|31.90|841.69
374|c„hI2|1,3.5-triethylbenzene|102-25-0|3|679.00|-9.35738|3.7883|-5.45184|-2.91351|24.35|||0.02|371.64|2.7|534.70
375||1.3-dimethy ltrieyelo|702-79-4|3|708.00|-8.17338|3.28872|-3.47324|-2.48597|30.00|||0.02|352.17|2.7|526.20
377|C12H2s|dodecane|112-40-3|1|4.12285|1639.270|181.840||||||0.02|372.89|2|520.24
377|C12H2s|dodecane|112-40-3|3|658.65|-9.08593|2.77846|-5.1985|-4.1730|18.30|||||18.30|658.65
378|C,,H,„0|1-dodeeanol|112-53-8|3|720.00|-9.91901|3.61884|-5.8537|-18.204|20.80|||||20.80|720.00
379||diphenylmethane|101-81-5|1|4.18060|1862.640|181.650||||||0.02|408.20|2|571.70
379||diphenylmethane|101-81-5|2|4.18060|1862.640|181.650|770.00|270|2.01000|260.720|0.00|1.876|633.15|30.70|813.15
380|c,,h,2|tri decane|629-50-5|1|4.13246|1690.670|174.220||||||0.02|388.85|2|540.19
380|c,,h,2|tri decane|629-50-5|3|676.00|-9.32959|2.89925|-5.5550|-4.4700|17.10|||||17.10|676.00
381|C„H,70|1-trideeanol|112-70-9|3|734.00|-9.99402|3.36986|-5.4865|-18.592|19.35|||||19.35|734.00
382|c14h„,|phenanthrene|85-01-8|1|4.37081|2329.540|195.280||||||0.02|461.60|2|650.00
383|c14h„,|anthracene|120-12-7|1|4.79891|2819.630|247.020||||||0.02|460.00|2|653.00
384|ChH22|1,4-di( trimethylmethyl)benzene|1012-72-2|3|708.00|-9.28468|3.89231|-5.55138|-3.34144|23|||0.02|387.02|2.7|559.10
385|c14h,„|tetradecane|629-59-4|1|4.13790|1740.880|167.720||||||0.02|403.69|2|559.15
385|c14h,„|tetradecane|629-59-4|3|693.00|-9.54470|3.06637|-6.0070|-4.5300|16.10|||||16.10|693.00
386|c14h,„o|1 -tetradecanol|112-72-1|3|747.00|-10.13519|3.27661|-5.3447|-18.711|18.10|||||18.10|747.00
387|C15H22|pentadecane|629-62-9|1|4.14849|1789.950|161.380||||||0.02|417.80|2|576.90
387|C15H22|pentadecane|629-62-9|3|708.00|-9.80239|3.29217|-6.5317|-4.5840|15.15|||||15.15|708.00
388|c15h,2o|1 -pentadecanol|629-76-5|3|759.00|-10.32431|3.32013|-5.4784|-18.263|17.00|||||17.00|759.00
389|C1c,H,4|hexadecane|544-76-3|1|4.15357|1830.510|154.450||||||0.02|431.47|2|593.80
389|C1c,H,4|hexadecane|544-76-3|3|722.00|-10.03664|3.41426|-6.8627|-4.8630|14.35|||||14.35|722.00
390|c„,h,4|2,2.4.4.6.8.8-heptamethylnonane|4390-04-9|3|693.00|-8.90870|2.27470|-3.6490|-6.6600|15.70|||||15.70|693.00
391|c„,h,4o|1-hexadeeanol|4485-13-6|3|770.00|-10.54087|3.47260|-6.0770|-15.939|16.10|||||16.10|770.00
392|C„H2i,|heptadecane|629-78-7|1|4.13920|1865.100|149.200||||||0.02|443.50|2|610.00
392|C„H2i,|heptadecane|629-78-7|3|735.00|-10.23600|3.54177|-7.1898|-5.0000|13.70|||||13.70|735.00
393|c17h,„o|1 -heptadecanol|1454-85-9|3|780.00|-10.73125|3.55515|-6.3591|-15.696|15.00|||||15.00|780.00
397|C1hH,„|octadecane|593-45-3|1|4.12710|1894.300|143.300||||||0.02|455.00|2|625.00
397|C1hH,„|octadecane|593-45-3|3|746.00|-10.47230|3.69655|-7.5779|-5.1090|13.00|||||13.00|746.00
398|C1hH,hO|1-octadecanol|112-92-5|3|790.00|-10.91637|3.57835|-6.6199|-15.060|14.40|||||14.40|790.00
399||nona decane|629-92-5|1|4.14020|1932.800|137.600||||||0.02|466.50|2|639.00
399||nona decane|629-92-5|3|758.00|-10.68217|3.98054|-8.3030|-4.9950|12.30|||||12.30|758.00
400|c,.,h4<,0|1-nonadeeanol|1454-84-8|3|799.00|-11.22657|4.03454|-7.7867|-11.970|13.80|||||13.80|799.00
401|c2„h42|eieosane|112-95-8|1|4.27710|2032.700|132.100||||||0.02|481.10|2|652.00
401|c2„h42|eieosane|112-95-8|3|769.00|-10.97958|4.25588|-8.9573|-5.0430|11.60|||||11.60|769.00
402|c2„h42o|1-eieosanol|629-96-9|3|809.00|-11.23154|3.66900|-7.0775|-14.321|13.00|||||13.00|809.00
407|C1D|deuterium chloride|7698-05-7|1|4.06086|668.2000|249.499||||||0.15|160.44|2|201.37
408|C1FO,|perchloryl fluoride|7616-94-6|1|4.02009|791.7270|243.880||||||0.02|167.80|2|242.15
409|C1F,|chlorine pentafluoride|13637-63-3|1|3.39423|653.0600|206.60||||||0.02|194.80|2|277.68
410|C1H|hydrogen chloride|7647-01-0|1|4.29490|745.7800|258.88||||||0.15|159.97|2|201.00
411|C1H4N|ammonium chloride|12125-02-9|1|6.48060|3703.700|232.00||||||0.02|494.00|2|640.50
412|C1NO|nitrogen oxychloride|2696-92-6|1|4.48644|1094.730|249.70||||||0.04|209.40|2|285.01
413|C12|chlorine|7782-50-5|1|4.06280|861.3400|246.33||||||0.02|176.31|2|255.79
414|DH|deuterium hydride|13983-20-5|1|3.14102|77.13490|275.62||||||0.08|15.73|2|24.69
415|DI|deuterium iodide|14104-45-1|1|2.72964|414.6800|187.87||||||0.40|217.80|2|256.03
416|D2|deuterium|7782-39-0|1|3.14102|77.13490|275.62||||||0.02|15.20|2|18.97
417|d2|deuterium, normal|800000-54-8|1|3.25315|83.52510|275.22||||||0.10|17.57|2|26.23
418|D,0|deuterium oxide|7789-20-0|1|5.04327|1616.760|219.54||||||0.20|335.17|2|394.54
420|D,N|trideuteroammonia|13550-49-7|1|4.61234|966.2260|240.80||||||0.05|195.75|2|256.46
422|FH|hydrogen fluoride|7664-39-3|1|4.80588|1475.600|287.88||||||0.02|212.10|2|312.83
423|FNO,|nitrogen dioxyfluoride|10022-50-1|1|3.95830|654.55|238.00||||||0.02|151.00|2|214.12
424|F2|fluorine|7782-41-4|1|3.89078|304.3500|266.54||||||0.02|61.00|2|91.39
428|f20|oxygen difluoride|7783-41-7|1|4.36109|545.0500|269.91||||||0.02|93.10|2|137.40
430|F,N|nitrogen trifluoride|7783-54-2|1|3.90456|501.9130|216.00||||||0.02|146.72|2|196.43
433|F4S|sulfur tetrafluoride|7783-60-0|1|3.96440|823.4000|248.00||||||0.02|170.00|2|249.92
435|F„S|sulfur hexafluoride|2551-62-4|1|5.54090|1096.500|262.00||||||0.02|162.00|2|220.40
436|F„U|uranium hexafluoride|7783-81-5|3|503.35|-7.37599|1.8001|-2.69686|-3.13299|45.31|||||45.31|503.35
437|HI|hydrogen iodide|10034-85-2|1|2.69803|405.3300|186.13||||||0.40|217.90|2|256.12
438|h2|hydrogen|1333-74-0|1|2.93954|66.79540|275.65||||||0.05|10.25|2|22.82
439|h2|hydrogen, normal|800000-51-5|1|2.94928|67.50780|275.70||||||0.05|13.33|2|22.94
440|H,0|water|7732-18-5|1|5.11564|1687.537|230.17||||||0.01|273.20|16|473.20
440|H,0|water|7732-18-5|3|647.300|-7.77224|1.45684|-2.71942|-1.41336||||0.01|273.20|221|647.30
441|H,S|hydrogen sulfide|7783-06-4|1|4.22882|806.9330|251.39||||||0.20|185.51|2|227.20
442|H2S2|dihydrogen disulfide|13465-07-1|1|4.05500|1199.000|225.00||||||0.02|256.00|2|367.55
443|H,S,|dihydrogen trisulfide|13845-23-3|1|3.93200|1488.000|209.00||||||0.02|328.00|2|473.96
444|H2S4|dihydrogen tetrasulfide|13845-25-5|1|4.07000|1772.000|196.00||||||0.02|384.00|2|547.30
445|H,S,|dihydrogen pentasulfide|13845-24-4|1|4.44500|2104.000|189.00||||||0.02|426.00|2|591.88
446|H,Se|hydrogen selenide|7783-07-5|1|4.76030|927.6000|240.00||||||0.02|177.00|2|213.00
447|H,N|ammonia|7664-41-7|1|4.48540|926.1320|240.17||||||0.05|193.03|2|254.31
447|H,N|ammonia|7664-41-7|3|405.500|-7.28322|1.5716|-1.85672|-2.39312|113.530|||||113.5|405.50
448|H,P|phosphine|7803-51-2|1|3.84049|645.5120|256.07||||||0.03|137.44|2|199.46
449|H4N2|hydrazine|302-01-2|1|4.92680|1679.07|227.70||||||0.02|298.90|2|408.43
450|He|helium|7440-59-7|1|1.68360|8.15480|273.71||||||0.02|1.85|2|5.34
451|He|helium-3|14762-55-1|1|1.39750|5.59400|273.84||||||0.02|1.12|2|4.41
452|12|iodine|7553-56-2|1|4.14310|1611.900|205.18||||||0.15|392.49|2|487.51
453|Kr|krypton|7439-90-9|1|3.75560|416.3800|264.45||||||0.50|111.34|2|129.23
454|NO|nitrogen monoxide (nitric oxide)|10102-43-9|1|5.86790|682.9386|268.27||||||0.15|106.94|2|127.56
455|N,|nitrogen|7727-37-9|1|3.61947|255.68|266.55||||||0.08|60.81|2|83.65
455|N,|nitrogen|7727-37-9|3|126.20|-6.11102|1.2189|-0.69366|-1.89893|34.00|||||34.00|126.20
456|N,0|dinitrogen oxide (nitrous oxide)|10024-97-2|1|4.12884|654.2600|247.16||||||0.80|180.82|2|196.91
457|n,o4|dinitrogen tetroxide (nitrogen|10544-72-6|1|4.50989|1185.722|234.18||||||0.10|254.17|2|320.69
458|Ne|neon|7440-01-9|1|3.20934|78.38000|270.55||||||0.40|24.33|2|29.55
460|o2|oxygen|7782-44-7|1|3.81634|319.0130|266.70||||||0.02|64.29|2|97.20
461|o,s|sulfur dioxide|7446-09-5|1|4.40720|999.9000|237.19||||||0.02|199.71|2|279.47
462|o,|ozone|10028-15-6|1|3.96200|552.5000|251.00||||||0.02|120.00|2|173.07
463|o,s|sulfur trioxide|7446-11-9|1|6.17575|1735.310|236.50||||||0.15|284.50|2|332.04
464|Rn|radon|10043-92-2|1|4.62040|884.4100|255.00||||||0.02|158.00|2|222.90
465|S|sulfur|7704-34-9|1|3.96853|2500.120|186.30||||||0.02|527.98|2|768.55
466|Se|selenium|7782-49-2|1|4.75650|4213.000|202.00||||||0.02|724.00|2|1017.00
468|Xe|xenon|7440-63-3|1|3.76779|566.2820|258.66||||||0.60|156.43|2|177.84
