sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
43|C.HCl.F,|1.1 -diehloro-2.2.2-trifluoroethane|306-83-2|2|4.21161|1132.447|241.590|456.83|35|4.59524|179.953|-6961.2|2.13|323.15|29.46|443.15
45|C.HF,|pentafluoroethane|354-33-6|1|4.13392|800.8690|242.090||||||0.02|168.36|2|240.01
45|C.HF,|pentafluoroethane|354-33-6|2|4.13392|800.8700|242.090|339.17|-40|2.91989|164.960|-6993.2|2.79|248.15|31.73|333.15
47|C2H2|ethyne (acetylene)|74-86-2|1|3.67374|528.6700|228.790||||||1.20|191.44|2|201.11
47|C2H2|ethyne (acetylene)|74-86-2|3|308.35|-6.87886|1.30164|-1.22474|-3.59556|61.39|||||61.39|308.35
49|c2h2f4|1.1.1.2-tetrafluoroethane (R- 134a)|811-97-2|1|4.11874|850.8810|232.990||||||0.02|186.41|2|263.04
49|c2h2f4|1.1.1.2-tetrafluoroethane (R- 134a)|811-97-2|2|4.11874|850.8810|232.990|374.26|-20|2.39793|31.124|2784.80|2.44|268.15|39.69|373.15
50|c2h2f4|1.1,2,2-tetrafluoroethane (R-134)|359-35-3|1|4.12013|885.5970|235.900||||||0.02|190.05|2|269.75
50|c2h2f4|1.1,2,2-tetrafluoroethane (R-134)|359-35-3|2|4.12013|885.5970|235.290|391.74|-10|1.97108|-196.89|17336.0|2.27|273.15|35.70|378.15
51|C.H.CIF,|1 -ehloro-1.1 -difluoroethane|75-68-3|1|4.05053|928.6450|238.690||||||0.02|195.98|2|282.13
51|C.H.CIF,|1 -ehloro-1.1 -difluoroethane|75-68-3|2|4.05053|928.6450|238.690|410.30|0|2.94747|115.850|-3920.5|2.07|283.15|35.82|403.15
52|C.H.Cl.F|1.1 -diehloro- 1-fluoroethane|1717-00-6|1|4.03117|1062.074|231.799||||||0.02|226.71|2|326.09
52|C.H.Cl.F|1.1 -diehloro- 1-fluoroethane|1717-00-6|2|4.03117|1062.074|231.790|477.35|40|4.49103|752.781|-43010|2.46|333.15|40.56|473.15
53|C,H,F,|1.1.1-trifluoroethane (R-143a)|420-46-2|1|4.06800|801.3400|244.550||||||0.02|167.55|2|241.33
53|C,H,F,|1.1.1-trifluoroethane (R-143a)|420-46-2|2|4.06800|801.3400|244.550|346.30|-40|2.50293|63.440|-981.56|2.15|243.15|35.53|343.15
54|C,H,F,|1.1,2-trifluoroethane (R-143)|430-66-0|1|4.13152|928.1770|221.270||||||0.02|211.07|2|294.19
54|C,H,F,|1.1,2-trifluoroethane (R-143)|430-66-0|2|4.13152|928.1770|221.270|429.80|10|2.13500|8.924|-587.53|2.31|298.15|43.09|418.15
55|C2H4|ethene (ethylene)|74-85-1|1|3.91382|596.5260|256.370||||||0.02|123.06|2|181.90
55|C2H4|ethene (ethylene)|74-85-1|2|3.91382|596.5300|256.370|282.34|-99|2.79132|9.717|52.77|2.71|188.15|40.99|273.15
57|c,h4ci,|1.1 -diehloroe thane|75-34-3|1|4.16780|1201.050|231.270||||||0.02|246.60|2|352.49
58|c,h4ci,|1,2-diehloroethane|107-06-2|1|4.28356|1341.370|230.050||||||0.02|267.40|2|379.91
59|c2h4f2|1.1 -difluoroethane (R-15 2a 1|75-37-6|1|3.75231|735.1600|220.270||||||0.02|187.74|2|265.89
59|c2h4f2|1.1 -difluoroethane (R-15 2a 1|75-37-6|2|3.75231|735.1600|220.270|386.41|-18|1.38810|72.728|-1421.1|2.19|268.15|45.16|386.74
60|c,h4o,|ethanoic aeid (acetic acid)|64-19-7|1|4.54456|1555.120|224.650||||||0.02|297.58|2|414.97
60|c,h4o,|ethanoic aeid (acetic acid)|64-19-7|3|592.71|-8.29430|0.97928|-0.21745|-5.72367|57.86|||||57.86|592.71
61|C.H.O,|methyl methanoate (methyl formate)|107-31-3|1|4.29529|1 125.200|230.560||||||0.02|230.30|2|324.29
