,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
67,"1,2-Dichloroethane",C2H4Cl2,,"107-06-2,52399-93-6,29561-65-7",-26.2,-16.4,10.2,23.8,44.4,62.5,83.2,107.2,145.1,179.8,-8.2685,3.49184,-3.19752,-2.97053
68,"1,2-Dibromoethane",C2H4Br2,,106-93-4,,17.5,47.9,63.4,86.8,107.4,131.0,158.4,202.3,243.1,-7.96068,4.07852,-4.74206,-0.8841
69,"1,1,1-Trifluoroethane",C2H3F3,(R143a),"420-46-2,27987-06-0",,,-95.2,-86.4,-72.9,-61.1,-47.5,-31.8,-6.7,16.3,-7.35995,1.71203,-2.01879,-2.98413
70,"1,1,1-Trichloroethane",C2H3Cl3,,"71-55-6,90229-85-9",,-25.9,0.4,14.0,34.6,52.8,73.7,98.0,136.9,172.8,-7.21356,1.90482,-2.08892,-3.31006
71,"1,1,2,2-Tetrachloroethane",C2H2Cl4,,79-34-5,18.0,29.5,60.9,76.9,100.9,121.7,145.4,172.7,215.9,256.0,-5.60385,-1.82148,-0.70234,-1.88475
72,Pentachloroethane,C2HCl5,,76-01-7,27.3,39.2,71.5,88.1,113.1,134.9,159.9,188.7,234.6,276.7,-7.59524,1.63691,-2.82337,-2.34305
73,Hexachloroethane,C2Cl6,,67-72-1,,,,,,,,215.1,265.9,313.7,-6.84574,1.14406,-2.27578,-7.15228
74,"1,1,2,2-Tetrachlorodifluoroethane",C2Cl4F2,,76-12-0,,,,31.2,52.5,71.1,92.6,117.5,157.4,194.5,-7.71309,2.64672,-3.98878,-1.66517
75,"1,1,2-Trichlorotrifluoroethan",C2Cl3F3,,76-13-1,,,-20.7,-8.1,11.0,27.8,47.2,69.8,105.9,139.3,-7.24399,1.63003,-2.12928,-3.49922
76,"1,2-Dichlorotetrafluoroethane",C2Cl2F4,,"76-14-2,1320-37-2",-84.9,-77.0,-55.6,-44.7,-28.1,-13.5,3.3,22.8,54.1,83.3,-7.64719,2.95529,-4.23671,0.15959
77,1-Chloropropane,C3H7Cl,,"540-54-5,26446-76-4",-53.5,-44.7,-20.6,-8.2,10.7,27.2,46.1,68.2,103.3,135.7,-7.23105,1.89946,-2.29641,-2.86891
78,1-Chlorobutane,C4H9Cl,,"109-69-3,25154-42-1",-30.6,-21.1,4.9,18.4,39.0,57.2,78.3,102.8,142.2,178.8,-6.77199,0.79529,-1.25773,-5.53709
79,1-Chloropentane,C5H11Cl,,"543-59-9,29656-63-1",-11.5,-1.0,27.7,42.5,65.1,85.0,108.0,134.8,177.6,216.6,-9.45097,5.86945,-5.57003,-2.09598
80,Chlorotrifluoroethene,C2ClF3,,"79-38-9,9036-80-0",-117.7,-108.5,-85.3,-74.1,-57.9,-44.3,-29.1,-11.8,15.5,40.7,-8.22217,4.87114,-7.47925,13.3107
81,Vinyl chloride,C2H3Cl,,"75-01-4,1187028-37-0,26793-37-3",-96.2,-89.0,-69.2,-59.0,-43.5,-29.9,-14.1,4.3,33.8,61.3,-6.32153,1.11198,-1.35813,-3.25332
82,"1,1-Dichloroethene",C2H2Cl2,,75-35-4,-63.4,-55.1,-32.4,-20.7,-2.8,13.0,31.3,52.8,87.5,119.4,-10.494,9.03819,-7.79814,-1.10724
83,Trichloroethene,C2HCl3,,"79-01-6,123919-09-5",-26.8,-16.6,11.2,25.3,46.4,64.8,85.7,109.9,148.4,184.2,-6.86463,1.754,-3.57287,0.95588
84,Tetrachloroethene,C2Cl4,,"127-18-4,25135-99-3",-2.1,8.9,39.0,54.3,77.4,97.6,120.6,147.1,189.5,228.8,-6.50488,0.75823,-2.53992,-0.58809
85,Fluorobenzene,C6H5F,,462-06-6,-26.8,-16.8,10.5,24.4,45.4,63.8,84.8,109.1,147.8,183.5,-7.42663,2.30457,-3.23481,-1.05236
86,Chlorobenzene,C6H5Cl,,"108-90-7,25053-25-2",5.6,16.8,47.5,63.2,86.9,107.7,131.4,159.0,202.8,243.2,-7.41321,2.18452,-2.95675,-1.66197
87,Bromobenzene,C6H5Br,,"108-86-1,52753-63-6",22.9,34.6,66.7,83.2,108.2,130.2,155.5,184.9,232.0,275.6,-8.10313,3.78791,-4.14347,-2.11742
88,Iodobenzene,C6H5I,,"591-50-4,51209-48-4",45.4,58.1,92.8,110.5,137.4,160.8,187.8,219.0,268.9,315.1,-7.47909,2.53825,-3.5432,-1.50458
89,m-Chlorotoluene,C7H7Cl,,108-41-8,24.5,37.3,71.6,88.8,114.6,137.0,162.3,191.3,237.3,279.7,-7.9036,2.90903,-4.76707,3.62554
90,Benzyl chloride,C7H7Cl,,"100-44-7,33712-34-4",42.9,55.4,89.2,106.2,131.8,153.9,179.0,207.9,253.8,296.4,-6.24204,-0.59859,-2.50951,0.213
91,Methane,CH4,,"74-82-8,14493-06-2,150036-83-2,8006-14-2,58760-46-6",,,,,-176.1,-169.4,-161.6,-152.5,-137.8,-124.0,-6.02388,1.26813,-0.56948,-1.37648
92,Ethane,C2H6,,74-84-0,-150.6,-145.2,-130.4,-122.7,-111.0,-100.7,-88.8,-75.0,-52.7,-32.1,-6.46252,1.3576,-1.04922,-2.03789
93,Propane,C3H8,,"74-98-6,130071-47-5,36427-14-2",-118.1,-111.5,-93.3,-83.9,-69.6,-57.0,-42.4,-25.5,1.7,26.9,-6.7148,1.38388,-1.30695,-2.56827
94,n-Butane,C4H10,,106-97-8,-89.0,-81.3,-60.0,-49.1,-32.4,-17.7,-0.8,18.8,50.3,79.5,-7.08562,1.79335,-2.00003,-2.31975
